# generated 2017-01-13
#t1	t2	logical	text
HP:0012742	HP:0040036	t	f
HP:0000260	HP:0000237	f	t
HP:0000977	HP:0030053	t	f
HP:0001180	HP:0001161	t	f
HP:0100149	HP:0100154	t	t
HP:0006114	HP:0000954	t	f
HP:0012748	HP:0012749	f	t
HP:0100125	HP:0100130	t	t
HP:0003387	HP:0007249	f	t
HP:0008249	HP:0005990	t	t
HP:0002516	HP:0012641	f	t
HP:0006155	HP:0009803	f	t
HP:0030348	HP:0030349	t	t
HP:0012857	HP:0012858	f	t
HP:0001935	HP:0001972	f	t
HP:0012357	HP:0012356	f	t
HP:0030608	HP:0030607	f	t
HP:0008665	HP:0000060	f	t
HP:0006127	HP:0010241	t	t
HP:0003154	HP:0002920	t	t
HP:0005404	HP:0010976	t	f
HP:0010141	HP:0010146	t	t
HP:0002684	HP:0010539	t	t
HP:0009253	HP:0009258	t	t
HP:0000822	HP:0002615	t	t
HP:0001072	HP:0000963	t	f
HP:0007440	HP:0007513	t	t
HP:0011998	HP:0012051	f	t
HP:0009158	HP:0009159	t	t
HP:0010493	HP:0010049	t	t
HP:0030381	HP:0030380	f	t
HP:0006277	HP:0002594	t	t
HP:0030796	HP:0030795	f	t
HP:0001923	HP:0001896	t	f
HP:0011383	HP:0011382	f	t
HP:0100047	HP:0100052	t	t
HP:0011966	HP:0003572	t	f
HP:0003281	HP:0012343	t	t
HP:0012416	HP:0012417	f	t
HP:0011877	HP:0005537	t	t
HP:0040014	HP:0040013	t	t
HP:0011069	HP:0000668	t	t
HP:0003085	HP:0003038	f	t
HP:0000276	HP:0011219	t	t
HP:0012132	HP:0012133	t	t
HP:0002395	HP:0002600	f	t
HP:0030618	HP:0030619	f	t
HP:0002149	HP:0003537	t	t
HP:0002761	HP:0001376	f	t
HP:0002152	HP:0003075	f	t
HP:0009349	HP:0009354	t	t
HP:0011509	HP:0007988	t	t
HP:0001987	HP:0100493	t	t
HP:0003155	HP:0003282	t	t
HP:0000921	HP:0005815	t	f
HP:0002883	HP:0002791	t	t
HP:0010514	HP:0040075	t	t
HP:0001657	HP:0012232	f	t
HP:0000494	HP:0000582	f	t
HP:0003774	HP:0001919	f	t
HP:0030686	HP:0030685	f	t
HP:0100058	HP:0100063	t	t
HP:0012117	HP:0003073	t	t
HP:0100554	HP:0100558	f	t
HP:0025134	HP:0008214	f	t
HP:0000472	HP:0000470	t	t
HP:0003074	HP:0001943	t	t
HP:0000389	HP:0000371	f	t
HP:0011120	HP:0000444	f	t
HP:0045050	HP:0045051	f	t
HP:0009746	HP:0009936	f	t
HP:0003072	HP:0002901	t	t
HP:0004005	HP:0004010	t	t
HP:0001347	HP:0001265	t	t
HP:0009931	HP:0009933	f	t
HP:0003235	HP:0003658	t	t
HP:0012351	HP:0012350	f	t
HP:0000316	HP:0000601	t	t
HP:0030887	HP:0002731	t	t
HP:0002155	HP:0012153	t	t
HP:0010165	HP:0010170	t	t
HP:0009338	HP:0009343	t	t
HP:0011776	HP:0011775	f	t
HP:0009689	HP:0009694	t	t
HP:0010679	HP:0010683	t	f
HP:0009765	HP:0002000	t	f
HP:0009217	HP:0009222	t	t
HP:0000448	HP:0009924	f	t
HP:0000482	HP:0000485	t	t
HP:0100874	HP:0002213	f	t
HP:0100785	HP:0030050	f	t
HP:0430028	HP:0000327	t	t
HP:0100827	HP:0001888	t	f
HP:0008001	HP:0012643	t	t
HP:0012649	HP:0012648	t	t
HP:0030019	HP:0030018	f	t
HP:0001611	HP:0100271	f	t
