# generated 2017-01-13
#t1	t2	logical	text
MP:0009240	MP:0009239	t	t
MP:0008370	MP:0008368	t	t
MP:0005139	MP:0005138	t	t
MP:0010100	MP:0004646	f	t
MP:0005477	MP:0005478	t	t
MP:0020011	MP:0020010	f	t
MP:0003725	MP:0003726	f	t
MP:0020047	MP:0020046	t	t
MP:0011044	MP:0011045	t	t
MP:0011094	MP:0011104	f	t
MP:0002865	MP:0001732	t	t
MP:0012461	MP:0012462	t	t
MP:0020210	MP:0020209	f	t
MP:0008949	MP:0008031	f	t
MP:0012365	MP:0012364	f	t
MP:0014228	MP:0014229	f	t
MP:0006006	MP:0000966	t	t
MP:0008641	MP:0008642	t	t
MP:0006003	MP:0006002	f	t
MP:0009092	MP:0009091	t	t
MP:0008161	MP:0008155	t	t
MP:0005348	MP:0005095	t	t
MP:0004485	MP:0004486	t	t
MP:0004370	MP:0004359	t	t
MP:0010092	MP:0010093	t	t
MP:0020296	MP:0020295	f	t
MP:0011915	MP:0011914	t	t
MP:0004498	MP:0004497	t	t
MP:0011902	MP:0011903	t	t
MP:0020283	MP:0020284	f	t
MP:0014170	MP:0014169	t	t
MP:0020271	MP:0020272	f	t
MP:0001556	MP:0000186	t	t
MP:0000231	MP:0001596	f	t
MP:0008049	MP:0008050	t	t
MP:0012630	MP:0012629	f	t
MP:0002923	MP:0002922	f	t
MP:0020076	MP:0020078	f	t
MP:0003493	MP:0003494	t	f
MP:0020199	MP:0020197	f	t
MP:0002935	MP:0002934	f	t
MP:0011709	MP:0011708	t	t
MP:0014038	MP:0000606	t	t
MP:0006038	MP:0006039	t	t
MP:0004705	MP:0004706	t	t
MP:0009753	MP:0009757	t	f
MP:0012485	MP:0012486	t	t
MP:0010973	MP:0010974	t	t
MP:0008921	MP:0003990	t	t
MP:0010961	MP:0010962	t	t
MP:0012473	MP:0012474	f	t
MP:0002404	MP:0012434	f	t
MP:0011590	MP:0011591	f	t
MP:0013673	MP:0013672	t	t
MP:0013552	MP:0013551	t	t
MP:0012583	MP:0012581	f	t
MP:0013696	MP:0013697	t	t
MP:0009973	MP:0009974	t	t
MP:0005470	MP:0005471	t	t
MP:0013201	MP:0013200	t	t
MP:0004375	MP:0004377	t	t
MP:0008169	MP:0008170	f	t
MP:0000905	MP:0002892	t	t
MP:0020162	MP:0020163	f	t
MP:0000622	MP:0000623	t	t
MP:0010299	MP:0010269	t	t
MP:0011178	MP:0011179	t	t
MP:0011287	MP:0011288	t	t
MP:0009852	MP:0009853	t	t
MP:0006070	MP:0001327	t	t
MP:0011095	MP:0011105	f	t
MP:0020330	MP:0020329	f	t
MP:0012342	MP:0012341	f	t
MP:0008337	MP:0008338	t	t
MP:0014215	MP:0014216	f	t
MP:0009342	MP:0005675	t	t
MP:0012378	MP:0012377	f	t
MP:0008531	MP:0008532	t	t
MP:0004012	MP:0004013	t	t
MP:0012147	MP:0012148	f	t
MP:0008160	MP:0008154	t	t
MP:0002640	MP:0008941	t	t
MP:0004762	MP:0004798	f	t
MP:0002606	MP:0002607	t	t
MP:0020075	MP:0020077	t	t
MP:0008410	MP:0008411	f	t
MP:0003480	MP:0003481	f	t
MP:0004828	MP:0004827	f	t
MP:0008422	MP:0008423	t	t
MP:0008435	MP:0008434	t	t
MP:0012596	MP:0012595	t	t
MP:0004804	MP:0004803	f	t
MP:0009758	MP:0009754	t	f
MP:0005011	MP:0005012	t	t
MP:0013344	MP:0013345	t	t
MP:0005351	MP:0005350	f	t
MP:0009405	MP:0009406	f	t
MP:0013684	MP:0013683	f	t
MP:0009635	MP:0009636	t	t
MP:0010996	MP:0010997	t	t
MP:0010875	MP:0010876	t	t
MP:0004474	MP:0004470	t	t
MP:0011470	MP:0011471	t	t
MP:0005398	MP:0005399	t	t
MP:0002801	MP:0002800	f	t
MP:0005605	MP:0004016	t	t
MP:0004889	MP:0004890	f	t
MP:0006343	MP:0006341	t	t
MP:0005133	MP:0005132	t	t
MP:0004199	MP:0004200	t	t
MP:0020053	MP:0020052	t	t
MP:0020065	MP:0020064	t	t
MP:0011276	MP:0011277	t	t
MP:0003913	MP:0003914	t	t
MP:0011096	MP:0011106	f	t
MP:0011143	MP:0011144	f	t
MP:0009623	MP:0009624	f	t
MP:0013793	MP:0013792	f	t
MP:0010101	MP:0004649	f	t
MP:0012331	MP:0012330	f	t
MP:0008764	MP:0008765	f	t
MP:0012124	MP:0012125	f	t
MP:0008328	MP:0008329	t	t
MP:0008874	MP:0008873	t	t
MP:0012112	MP:0012113	t	t
MP:0014218	MP:0014219	f	t
MP:0004350	MP:0004351	t	t
MP:0010090	MP:0010091	t	t
MP:0011917	MP:0011916	t	t
MP:0003896	MP:0010511	f	t
MP:0011152	MP:0012444	t	t
MP:0020382	MP:0020383	t	t
MP:0020261	MP:0020262	f	t
MP:0008039	MP:0008040	t	t
MP:0000548	MP:0000547	t	t
MP:0002714	MP:0002715	t	t
MP:0009755	MP:0009751	t	f
MP:0012487	MP:0012488	t	t
MP:0003370	MP:0003371	t	t
MP:0012475	MP:0012476	t	t
MP:0012463	MP:0012464	t	t
MP:0010850	MP:0010851	t	t
MP:0012572	MP:0012573	f	t
MP:0013772	MP:0013771	f	t
MP:0013421	MP:0013420	f	t
MP:0008945	MP:0008389	f	t
MP:0008965	MP:0020234	f	t
MP:0013663	MP:0013662	t	t
MP:0013433	MP:0013432	f	t
MP:0005145	MP:0005146	t	t
MP:0008981	MP:0008983	t	t
MP:0010563	MP:0003649	t	t
MP:0005364	MP:0005363	f	t
MP:0004650	MP:0004647	t	t
MP:0005123	MP:0005120	t	t
MP:0008163	MP:0008157	t	t
MP:0020140	MP:0020141	t	t
MP:0020032	MP:0020031	f	t
MP:0005519	MP:0005520	t	t
MP:0020044	MP:0020043	f	t
MP:0011047	MP:0011048	f	t
MP:0011097	MP:0011107	f	t
MP:0005455	MP:0010182	f	t
MP:0002293	MP:0002294	t	t
MP:0001095	MP:0001093	t	t
MP:0005238	MP:0000774	t	t
MP:0011120	MP:0011121	t	t
MP:0013892	MP:0013893	t	t
MP:0008666	MP:0008667	f	t
MP:0006212	MP:0006211	t	t
MP:0008896	MP:0008897	f	t
MP:0008654	MP:0008655	t	t
MP:0008206	MP:0008207	t	t
MP:0014205	MP:0014206	f	t
MP:0012343	MP:0012344	f	t
MP:0012223	MP:0012222	f	t
MP:0012356	MP:0012355	f	t
MP:0012368	MP:0012367	f	t
MP:0004144	MP:0004143	t	f
MP:0004010	MP:0004011	f	t
MP:0020393	MP:0020394	t	t
MP:0008529	MP:0020342	t	t
MP:0001566	MP:0000198	t	t
MP:0000403	MP:0000404	t	t
MP:0003068	MP:0002989	t	t
MP:0002608	MP:0000208	f	t
MP:0020080	MP:0020137	t	t
MP:0002955	MP:0002956	f	t
MP:0002738	MP:0005498	t	t
MP:0012586	MP:0012585	t	t
MP:0009756	MP:0009752	t	f
MP:0003394	MP:0003393	f	t
MP:0008412	MP:0008413	t	t
MP:0002575	MP:0003458	t	t
MP:0000439	MP:0005352	t	t
MP:0012452	MP:0012453	t	t
MP:0008678	MP:0008679	t	t
MP:0002944	MP:0005571	f	t
MP:0010861	MP:0010862	f	t
MP:0008424	MP:0008425	t	t
MP:0009427	MP:0009428	f	t
MP:0009778	MP:0009779	t	f
MP:0006094	MP:0009269	t	t
MP:0008599	MP:0008600	t	t
MP:0011581	MP:0011582	t	t
MP:0005582	MP:0005583	f	t
MP:0013686	MP:0013685	f	t
MP:0013740	MP:0013389	t	t
MP:0009306	MP:0009307	t	t
MP:0013443	MP:0013444	t	t
MP:0004386	MP:0004384	t	t
MP:0002810	MP:0002811	f	t
MP:0002947	MP:0020226	f	t
MP:0010050	MP:0013438	t	t
MP:0005135	MP:0005134	t	t
MP:0004651	MP:0004648	t	t
MP:0003066	MP:0003067	t	t
MP:0005474	MP:0005473	t	t
MP:0005124	MP:0005121	t	t
MP:0008162	MP:0008156	t	t
MP:0011278	MP:0011279	t	t
MP:0011098	MP:0011108	f	t
MP:0011593	MP:0011594	t	t
MP:0011133	MP:0011134	t	t
MP:0010884	MP:0004548	f	t
MP:0012091	MP:0012089	t	t
MP:0001261	MP:0005150	t	f
MP:0010290	MP:0012413	f	t
MP:0009828	MP:0010308	f	t
MP:0009767	MP:0009766	f	t
MP:0011242	MP:0011243	t	t
MP:0020006	MP:0020005	t	t
MP:0003450	MP:0004247	t	t
MP:0005283	MP:0005285	t	t
MP:0020332	MP:0020333	t	f
MP:0003502	MP:0003503	t	t
MP:0000777	MP:0009038	f	t
MP:0008564	MP:0008565	t	t
MP:0008500	MP:0008496	f	t
MP:0001699	MP:0001698	t	t
MP:0008782	MP:0008783	t	t
MP:0001214	MP:0001215	t	t
MP:0002965	MP:0005419	f	t
MP:0001552	MP:0002644	t	t
MP:0012291	MP:0012292	f	t
MP:0008432	MP:0008431	f	t
MP:0012459	MP:0012460	t	t
MP:0008807	MP:0008743	t	t
MP:0008334	MP:0008335	t	t
MP:0008346	MP:0008347	t	t
MP:0010292	MP:0012424	f	t
MP:0008358	MP:0008359	t	t
MP:0010296	MP:0012420	f	t
MP:0003712	MP:0000024	t	f
MP:0004955	MP:0004956	t	t
MP:0009449	MP:0009448	t	t
MP:0004702	MP:0004701	t	t
MP:0004943	MP:0004944	f	t
MP:0011799	MP:0011800	t	t
MP:0012616	MP:0012615	f	t
MP:0008189	MP:0008190	t	t
MP:0012748	MP:0012749	f	t
MP:0010937	MP:0010938	f	t
MP:0006398	MP:0006396	f	t
MP:0003019	MP:0003020	t	t
MP:0004695	MP:0004686	t	t
MP:0009763	MP:0009764	f	t
MP:0009775	MP:0009776	f	t
MP:0009558	MP:0009557	t	t
MP:0020223	MP:0020224	f	t
MP:0003398	MP:0010240	t	t
MP:0020102	MP:0020103	f	t
MP:0020247	MP:0020248	f	t
MP:0003436	MP:0003724	t	t
MP:0020367	MP:0020368	t	t
MP:0020017	MP:0020016	f	t
MP:0006265	MP:0006266	f	t
MP:0008478	MP:0008479	t	t
MP:0005284	MP:0005286	t	t
MP:0011866	MP:0011867	f	t
MP:0008696	MP:0008697	t	t
MP:0008575	MP:0008576	t	t
MP:0008684	MP:0008685	t	t
MP:0012606	MP:0012604	t	t
MP:0011612	MP:0011613	t	t
MP:0008672	MP:0008673	t	t
MP:0009742	MP:0003092	t	t
MP:0008660	MP:0008661	t	t
MP:0001203	MP:0001204	f	t
MP:0003610	MP:0003611	t	t
MP:0004149	MP:0004991	t	t
MP:0013891	MP:0008813	t	t
MP:0014142	MP:0014143	t	t
MP:0013704	MP:0013705	t	t
MP:0013717	MP:0013716	t	t
MP:0010297	MP:0012421	f	t
MP:0002218	MP:0002219	t	t
MP:0012098	MP:0012099	t	t
MP:0011100	MP:0011110	f	t
MP:0010067	MP:0010068	f	t
MP:0004824	MP:0004823	f	t
MP:0004920	MP:0004921	t	t
MP:0002758	MP:0000592	t	t
MP:0013670	MP:0013669	f	t
